,path,original_transcript,noise_type,asr_transcript,translation
40,samples_with_noise_snr5/common_voice_uk_29194547_living.wav,камрад покірно ліг і поклавши голову на лапи зітхнув,living,камрад покірно ліг і поклавши голову на лапи зітхнув,marrad meekly lay down and put his head on his paws sighed
41,samples_with_noise_snr5/common_voice_uk_29194547_meeting.wav,камрад покірно ліг і поклавши голову на лапи зітхнув,meeting,камрад покірно ліг і поклавши голову на лапи зітхнув не полем з на,marrad meekly lay down and putting his head on his paws sighed not with a field of
42,samples_with_noise_snr5/common_voice_uk_29194547_metro.wav,камрад покірно ліг і поклавши голову на лапи зітхнув,metro,камрад покірно ліг і поклавши голову на лапи зітхнув,marrad meekly lay down and put his head on his paws sighed
43,samples_with_noise_snr5/common_voice_uk_29194547_office.wav,камрад покірно ліг і поклавши голову на лапи зітхнув,office,камрад покірно ліг і поклавши голову на лапи зітхнув,marrad meekly lay down and put his head on his paws sighed
44,samples_with_noise_snr5/common_voice_uk_29194547_park.wav,камрад покірно ліг і поклавши голову на лапи зітхнув,park,камраз покірно ліг і поклавши голову на лапи зітхнув але дивом,kamaz meekly lay down and putting his head on his paws sighed but miraculously
45,samples_with_noise_snr5/common_voice_uk_29194547_resto.wav,камрад покірно ліг і поклавши голову на лапи зітхнув,resto,камрад покірно ліг і поклавши голову на лапи зітхнув,marrad meekly lay down and put his head on his paws sighed
46,samples_with_noise_snr5/common_voice_uk_29194547_river.wav,камрад покірно ліг і поклавши голову на лапи зітхнув,river,камрад покірно ліг і поклавши голову на лапи зітхнув,marrad meekly lay down and put his head on his paws sighed
47,samples_with_noise_snr5/common_voice_uk_29194547_square.wav,камрад покірно ліг і поклавши голову на лапи зітхнув,square,камрад покірно ліг і поклавши голову на лапи зітхнув,marrad meekly lay down and put his head on his paws sighed
48,samples_with_noise_snr5/common_voice_uk_29194547_station.wav,камрад покірно ліг і поклавши голову на лапи зітхнув,station,камрад покірно ліг і поклавши голову на лапи зітхнув,marrad meekly lay down and put his head on his paws sighed
49,samples_with_noise_snr5/common_voice_uk_29194547_traffic.wav,камрад покірно ліг і поклавши голову на лапи зітхнув,traffic,камрад покірно ліг і поклавши голову на лапи зітхнув,marrad meekly lay down and put his head on his paws sighed
50,samples_with_noise_snr5/common_voice_uk_29194547_washing.wav,камрад покірно ліг і поклавши голову на лапи зітхнув,washing,камрад покірно ліг і поклавши голову на лапи зітхнув,marrad meekly lay down and put his head on his paws sighed
51,samples_with_noise_snr5/common_voice_uk_25651279_bus.wav,відтоді я встиг об'їхати увесь світ,bus,відтоді я встиг об'їхати увесь світ,"Since then, I’ve traveled all over the world."
52,samples_with_noise_snr5/common_voice_uk_25651279_cafeteria.wav,відтоді я встиг об'їхати увесь світ,cafeteria,відтоді на сісти біг без світ а,"Since then, I’ve been running without a world."
53,samples_with_noise_snr5/common_voice_uk_25651279_car.wav,відтоді я встиг об'їхати увесь світ,car,відтоді я стих об'їхати увесь світ,"Since then, I have gone around the world."
54,samples_with_noise_snr5/common_voice_uk_25651279_field.wav,відтоді я встиг об'їхати увесь світ,field,відтоді я стих об'їхати увесь світ,"Since then, I have gone around the world."
55,samples_with_noise_snr5/common_voice_uk_25651279_hallway.wav,відтоді я встиг об'їхати увесь світ,hallway,відтоді товстих об'їхати увесь світ,"Since then, fat to go around the world"
56,samples_with_noise_snr5/common_voice_uk_25651279_kitchen.wav,відтоді я встиг об'їхати увесь світ,kitchen,відтоді а стих об'їхати увесь світ,"Since then, a poem to go around the world"
57,samples_with_noise_snr5/common_voice_uk_25651279_living.wav,відтоді я встиг об'їхати увесь світ,living,відтоді я встиг обігу бас,"Since then, I've had a run of bass."
58,samples_with_noise_snr5/common_voice_uk_25651279_meeting.wav,відтоді я встиг об'їхати увесь світ,meeting,а то там і тут товстих біг та висловів нивенізналмі казав а авонтофі,or there and here thick running and expressions niveniznalmi said avontofi
59,samples_with_noise_snr5/common_voice_uk_25651279_metro.wav,відтоді я встиг об'їхати увесь світ,metro,відтоді я встиг об'їхати увесь світ,"Since then, I’ve traveled all over the world."
60,samples_with_noise_snr5/common_voice_uk_25651279_office.wav,відтоді я встиг об'їхати увесь світ,office,відтоді я стих об'їхати увесь світ,"Since then, I have gone around the world."
61,samples_with_noise_snr5/common_voice_uk_25651279_park.wav,відтоді я встиг об'їхати увесь світ,park,відтоді простих ліг і висів а лідером виділа,"Since then, simple leagues and hung and the leader saw"
62,samples_with_noise_snr5/common_voice_uk_25651279_resto.wav,відтоді я встиг об'їхати увесь світ,resto,відтоді усіх вас,Since then all of you
63,samples_with_noise_snr5/common_voice_uk_25651279_river.wav,відтоді я встиг об'їхати увесь світ,river,відтоді я встиг об'їхати увесь світ,"Since then, I’ve traveled all over the world."
64,samples_with_noise_snr5/common_voice_uk_25651279_square.wav,відтоді я встиг об'їхати увесь світ,square,відтоді я встиг об'їхати увесь світ,"Since then, I’ve traveled all over the world."
65,samples_with_noise_snr5/common_voice_uk_25651279_station.wav,відтоді я встиг об'їхати увесь світ,station,відтоді я встиг об'їхати увесь світ,"Since then, I’ve traveled all over the world."
66,samples_with_noise_snr5/common_voice_uk_25651279_traffic.wav,відтоді я встиг об'їхати увесь світ,traffic,відтоді я стих об'їхати увесь світ,"Since then, I have gone around the world."
67,samples_with_noise_snr5/common_voice_uk_25651279_washing.wav,відтоді я встиг об'їхати увесь світ,washing,відтоді я стих об'їхати увесь світ,"Since then, I have gone around the world."
68,samples_with_noise_snr5/common_voice_uk_28716623_bus.wav,червоноармійці вхопили мої руки і скрутили назад,bus,червоноармійці вхопили мою руки і скрутили назад,The Red Army grabbed my hands and twisted me back.
69,samples_with_noise_snr5/common_voice_uk_28716623_cafeteria.wav,червоноармійці вхопили мої руки і скрутили назад,cafeteria,червоноармійці вхопили мою руки і скрутили назад,The Red Army grabbed my hands and twisted me back.
70,samples_with_noise_snr5/common_voice_uk_28716623_car.wav,червоноармійці вхопили мої руки і скрутили назад,car,червоноармійці вхопили мої руки і скрутили назад,The Red Army grabbed my hands and twisted me back.
71,samples_with_noise_snr5/common_voice_uk_28716623_field.wav,червоноармійці вхопили мої руки і скрутили назад,field,червоноармійці вхопили мою руки і скрутили назад,The Red Army grabbed my hands and twisted me back.
72,samples_with_noise_snr5/common_voice_uk_28716623_hallway.wav,червоноармійці вхопили мої руки і скрутили назад,hallway,червоноармійці вхопили мою руки і скрутили назад,The Red Army grabbed my hands and twisted me back.
73,samples_with_noise_snr5/common_voice_uk_28716623_kitchen.wav,червоноармійці вхопили мої руки і скрутили назад,kitchen,червоноармійці вхопили мені руки і скрутили назад,The Red Army grabbed my hands and twisted me back.
74,samples_with_noise_snr5/common_voice_uk_28716623_living.wav,червоноармійці вхопили мої руки і скрутили назад,living,червоноармійці вхопили мою руки і скрутили назад,The Red Army grabbed my hands and twisted me back.
75,samples_with_noise_snr5/common_voice_uk_28716623_meeting.wav,червоноармійці вхопили мої руки і скрутили назад,meeting,червоноармійці вхопили мої руки і скрутили назад і провідників,The Red Army grabbed my hands and twisted back and guides
76,samples_with_noise_snr5/common_voice_uk_28716623_metro.wav,червоноармійці вхопили мої руки і скрутили назад,metro,червоноармійці вхопили мою руки і скрутили назад,The Red Army grabbed my hands and twisted me back.
77,samples_with_noise_snr5/common_voice_uk_28716623_office.wav,червоноармійці вхопили мої руки і скрутили назад,office,червоноармійці вхопили мою руки і скрутили назад,The Red Army grabbed my hands and twisted me back.
78,samples_with_noise_snr5/common_voice_uk_28716623_park.wav,червоноармійці вхопили мої руки і скрутили назад,park,червоноармійці вхопили мої руки і скрутили назад ліди,The Red Army grabbed my hands and twisted back the leads
79,samples_with_noise_snr5/common_voice_uk_28716623_resto.wav,червоноармійці вхопили мої руки і скрутили назад,resto,червоноармійці вхопилимуу руку і скрутили назад,Red Army soldiers grab their hand and twist back
80,samples_with_noise_snr5/common_voice_uk_28716623_river.wav,червоноармійці вхопили мої руки і скрутили назад,river,червоноармійці вхопили мої руки і скрутили назад,The Red Army grabbed my hands and twisted me back.
81,samples_with_noise_snr5/common_voice_uk_28716623_square.wav,червоноармійці вхопили мої руки і скрутили назад,square,червоноармійці вхопили мою руки і скрутили назад,The Red Army grabbed my hands and twisted me back.
82,samples_with_noise_snr5/common_voice_uk_28716623_station.wav,червоноармійці вхопили мої руки і скрутили назад,station,червоноармійці вхопили мою руки і скрутили назад,The Red Army grabbed my hands and twisted me back.
83,samples_with_noise_snr5/common_voice_uk_28716623_traffic.wav,червоноармійці вхопили мої руки і скрутили назад,traffic,червоноармійці вхопили мою руки і скрутили назад,The Red Army grabbed my hands and twisted me back.
84,samples_with_noise_snr5/common_voice_uk_28716623_washing.wav,червоноармійці вхопили мої руки і скрутили назад,washing,червоноармійці вхопили мою руки і скрутили назад,The Red Army grabbed my hands and twisted me back.
85,samples_with_noise_snr5/common_voice_uk_26940711_bus.wav,і тут наперед приготуйтеся,bus,і тут наперед приготуйтеся,Get ready in advance.
86,samples_with_noise_snr5/common_voice_uk_26940711_cafeteria.wav,і тут наперед приготуйтеся,cafeteria,і тут наперед приготуйтеся,Get ready in advance.
87,samples_with_noise_snr5/common_voice_uk_26940711_car.wav,і тут наперед приготуйтеся,car,і тут наперед приготуйтеся,Get ready in advance.
88,samples_with_noise_snr5/common_voice_uk_26940711_field.wav,і тут наперед приготуйтеся,field,і тут наперед приготуйтеся,Get ready in advance.
89,samples_with_noise_snr5/common_voice_uk_26940711_hallway.wav,і тут наперед приготуйтеся,hallway,і тут наперед приготуйтеся,Get ready in advance.
90,samples_with_noise_snr5/common_voice_uk_26940711_kitchen.wav,і тут наперед приготуйтеся,kitchen,і тут наперед приготуйтеся,Get ready in advance.
91,samples_with_noise_snr5/common_voice_uk_26940711_living.wav,і тут наперед приготуйтеся,living,і тут наперед приготуйтеся,Get ready in advance.
92,samples_with_noise_snr5/common_voice_uk_26940711_meeting.wav,і тут наперед приготуйтеся,meeting,і тут наперед приготуйтеся у де сли,and here in advance get ready for where you are
93,samples_with_noise_snr5/common_voice_uk_26940711_metro.wav,і тут наперед приготуйтеся,metro,і тут наперед приготуйтеся,Get ready in advance.
94,samples_with_noise_snr5/common_voice_uk_26940711_office.wav,і тут наперед приготуйтеся,office,і тут наперед приготуйтеся,Get ready in advance.
95,samples_with_noise_snr5/common_voice_uk_26940711_park.wav,і тут наперед приготуйтеся,park,і тут наперед приготуйтеся,Get ready in advance.
96,samples_with_noise_snr5/common_voice_uk_26940711_resto.wav,і тут наперед приготуйтеся,resto,і тут на перерегууйтеся,and here on re-register
97,samples_with_noise_snr5/common_voice_uk_26940711_river.wav,і тут наперед приготуйтеся,river,і тут наперед приготуйтеся,Get ready in advance.
98,samples_with_noise_snr5/common_voice_uk_26940711_square.wav,і тут наперед приготуйтеся,square,і тут наперед приготуйтеся,Get ready in advance.
99,samples_with_noise_snr5/common_voice_uk_26940711_station.wav,і тут наперед приготуйтеся,station,і тут наперед приготуйтеся,Get ready in advance.
100,samples_with_noise_snr5/common_voice_uk_26940711_traffic.wav,і тут наперед приготуйтеся,traffic,і тут наперед приготуйтеся,Get ready in advance.
101,samples_with_noise_snr5/common_voice_uk_26940711_washing.wav,і тут наперед приготуйтеся,washing,і тут наперед приготуйтеся,Get ready in advance.
102,samples_with_noise_snr5/common_voice_uk_33459867_bus.wav,навіщо воно мені здалося,bus,навіщо вона може здалося,Why she might seem
103,samples_with_noise_snr5/common_voice_uk_33459867_cafeteria.wav,навіщо воно мені здалося,cafeteria,навіщо вона мені з до зося,Why is she with me to the zosya
104,samples_with_noise_snr5/common_voice_uk_33459867_car.wav,навіщо воно мені здалося,car,навіщо воно мені здалося,Why it seemed to me
105,samples_with_noise_snr5/common_voice_uk_33459867_field.wav,навіщо воно мені здалося,field,навіщо воно мені здалося,Why it seemed to me
106,samples_with_noise_snr5/common_voice_uk_33459867_hallway.wav,навіщо воно мені здалося,hallway,навіщо вона мені здалися,Why did she seem to me
107,samples_with_noise_snr5/common_voice_uk_33459867_kitchen.wav,навіщо воно мені здалося,kitchen,навіщо вона мені здалося,Why it seemed to me
108,samples_with_noise_snr5/common_voice_uk_33459867_living.wav,навіщо воно мені здалося,living,навіщо вона мені здалося,Why it seemed to me
109,samples_with_noise_snr5/common_voice_uk_33459867_meeting.wav,навіщо воно мені здалося,meeting,навіщо вона мені здалося а в до,Why did it seem to me a
110,samples_with_noise_snr5/common_voice_uk_33459867_metro.wav,навіщо воно мені здалося,metro,навіщо вона мені здалося,Why it seemed to me
111,samples_with_noise_snr5/common_voice_uk_33459867_office.wav,навіщо воно мені здалося,office,навіщо воно мені здалося,Why it seemed to me
112,samples_with_noise_snr5/common_voice_uk_33459867_park.wav,навіщо воно мені здалося,park,навіщо вона мені здалося,Why it seemed to me
113,samples_with_noise_snr5/common_voice_uk_33459867_resto.wav,навіщо воно мені здалося,resto,навіщо вона нас далося,Why she gave us
114,samples_with_noise_snr5/common_voice_uk_33459867_river.wav,навіщо воно мені здалося,river,навіщо воно мені здалося,Why it seemed to me
115,samples_with_noise_snr5/common_voice_uk_33459867_square.wav,навіщо воно мені здалося,square,навіщо воно мені здалося,Why it seemed to me
116,samples_with_noise_snr5/common_voice_uk_33459867_station.wav,навіщо воно мені здалося,station,навіщо вона мені здалося,Why it seemed to me
117,samples_with_noise_snr5/common_voice_uk_33459867_traffic.wav,навіщо воно мені здалося,traffic,навіщо воно мені здалося,Why it seemed to me
118,samples_with_noise_snr5/common_voice_uk_33459867_washing.wav,навіщо воно мені здалося,washing,навіщо воно мені здалося,Why it seemed to me
119,samples_with_noise_snr5/common_voice_uk_32413786_bus.wav,от за це люблю,bus,от за все люблю,for everything I love
120,samples_with_noise_snr5/common_voice_uk_32413786_cafeteria.wav,от за це люблю,cafeteria,от за це люблю,I love it for that.
121,samples_with_noise_snr5/common_voice_uk_32413786_car.wav,от за це люблю,car,от за це люблю,I love it for that.
122,samples_with_noise_snr5/common_voice_uk_32413786_field.wav,от за це люблю,field,от за це люблю,I love it for that.
123,samples_with_noise_snr5/common_voice_uk_32413786_hallway.wav,от за це люблю,hallway,от за це люди,Because of this people
124,samples_with_noise_snr5/common_voice_uk_32413786_kitchen.wav,от за це люблю,kitchen,от за це люблю,I love it for that.
125,samples_with_noise_snr5/common_voice_uk_32413786_living.wav,от за це люблю,living,і от за це люблю,and for that I love
126,samples_with_noise_snr5/common_voice_uk_32413786_meeting.wav,от за це люблю,meeting,а от ця люде люта а вуж,and from this people fierce and narrow
127,samples_with_noise_snr5/common_voice_uk_32413786_metro.wav,от за це люблю,metro,от за це люблю,I love it for that.
128,samples_with_noise_snr5/common_voice_uk_32413786_office.wav,от за це люблю,office,от за це люблю,I love it for that.
129,samples_with_noise_snr5/common_voice_uk_32413786_park.wav,от за це люблю,park,як ось за це люблю і гайдарі,That's why I love Gaidar.
130,samples_with_noise_snr5/common_voice_uk_32413786_resto.wav,от за це люблю,resto,от за земно,from behind the Earth
131,samples_with_noise_snr5/common_voice_uk_32413786_river.wav,от за це люблю,river,от за це люблю,I love it for that.
132,samples_with_noise_snr5/common_voice_uk_32413786_square.wav,от за це люблю,square,от за це люблю,I love it for that.
133,samples_with_noise_snr5/common_voice_uk_32413786_station.wav,от за це люблю,station,от за це люблю,I love it for that.
134,samples_with_noise_snr5/common_voice_uk_32413786_traffic.wav,от за це люблю,traffic,от за це люблю,I love it for that.
135,samples_with_noise_snr5/common_voice_uk_32413786_washing.wav,от за це люблю,washing,от за це люблю,I love it for that.
136,samples_with_noise_snr5/common_voice_uk_29092801_bus.wav,любуйся як дидона стогне,bus,любуйся як дидона стогне,Look at Dido moaning.
137,samples_with_noise_snr5/common_voice_uk_29092801_cafeteria.wav,любуйся як дидона стогне,cafeteria,любуйся як дидона стогне,Look at Dido moaning.
138,samples_with_noise_snr5/common_voice_uk_29092801_car.wav,любуйся як дидона стогне,car,любуйся як дидона стогне,Look at Dido moaning.
139,samples_with_noise_snr5/common_voice_uk_29092801_field.wav,любуйся як дидона стогне,field,любуйся як дидона стогне,Look at Dido moaning.
140,samples_with_noise_snr5/common_voice_uk_29092801_hallway.wav,любуйся як дидона стогне,hallway,любуйся як дидона стогне,Look at Dido moaning.
141,samples_with_noise_snr5/common_voice_uk_29092801_kitchen.wav,любуйся як дидона стогне,kitchen,любуйся як дидона стогне,Look at Dido moaning.
142,samples_with_noise_snr5/common_voice_uk_29092801_living.wav,любуйся як дидона стогне,living,любуйся як дидона стогне,Look at Dido moaning.
143,samples_with_noise_snr5/common_voice_uk_29092801_meeting.wav,любуйся як дидона стогне,meeting,любуйся як дидона стогне вудослискив провідних леніна казав а аонтофіл,Admire how didona moans voodoo leading lenin said aontophil
144,samples_with_noise_snr5/common_voice_uk_29092801_metro.wav,любуйся як дидона стогне,metro,любуйся як дидона стогне,Look at Dido moaning.
145,samples_with_noise_snr5/common_voice_uk_29092801_office.wav,любуйся як дидона стогне,office,любуйся як дидона стогне,Look at Dido moaning.
146,samples_with_noise_snr5/common_voice_uk_29092801_park.wav,любуйся як дидона стогне,park,любуйся як дидона стогне люди вони для,see how didona moan people they for
147,samples_with_noise_snr5/common_voice_uk_29092801_resto.wav,любуйся як дидона стогне,resto,любуйся як дидона стогне,Look at Dido moaning.
148,samples_with_noise_snr5/common_voice_uk_29092801_river.wav,любуйся як дидона стогне,river,любуйся як дидона стогне,Look at Dido moaning.
149,samples_with_noise_snr5/common_voice_uk_29092801_square.wav,любуйся як дидона стогне,square,любуйся як дидона стогне,Look at Dido moaning.
150,samples_with_noise_snr5/common_voice_uk_29092801_station.wav,любуйся як дидона стогне,station,любуйся як дидона стогне,Look at Dido moaning.
151,samples_with_noise_snr5/common_voice_uk_29092801_traffic.wav,любуйся як дидона стогне,traffic,любуйся як дидона стогне,Look at Dido moaning.
152,samples_with_noise_snr5/common_voice_uk_29092801_washing.wav,любуйся як дидона стогне,washing,любуйся як дидона стогне,Look at Dido moaning.
153,samples_with_noise_snr5/common_voice_uk_25828714_bus.wav,"повертаючись із орди, помер в дорозі великий володимирський князь ярослав ярославович",bus,повертаючись із орди помер в дорозі великий володимирський князь ярослав ярославович,Returning from the horde died on the road the great Vladimir prince Yaroslav Yaroslavovich
154,samples_with_noise_snr5/common_voice_uk_25828714_cafeteria.wav,"повертаючись із орди, помер в дорозі великий володимирський князь ярослав ярославович",cafeteria,повертаючись із орди помер в кориться великий володимирський князь ярослав ярославович,Returning from the horde died in obedience to the great Vladimir prince Yaroslav Yaroslavovich
155,samples_with_noise_snr5/common_voice_uk_25828714_car.wav,"повертаючись із орди, помер в дорозі великий володимирський князь ярослав ярославович",car,повертаючись із орди помер в дорозі великий володимирський князь ярослав ярославович,Returning from the horde died on the road the great Vladimir prince Yaroslav Yaroslavovich
156,samples_with_noise_snr5/common_voice_uk_25828714_field.wav,"повертаючись із орди, помер в дорозі великий володимирський князь ярослав ярославович",field,повертаючись із орди помер в дорозі великий володимирський князь ярослав ярославович,Returning from the horde died on the road the great Vladimir prince Yaroslav Yaroslavovich
157,samples_with_noise_snr5/common_voice_uk_25828714_hallway.wav,"повертаючись із орди, помер в дорозі великий володимирський князь ярослав ярославович",hallway,повертаючись із орди помер в дорозі великий володимирський князь ярослав ярославович,Returning from the horde died on the road the great Vladimir prince Yaroslav Yaroslavovich
158,samples_with_noise_snr5/common_voice_uk_25828714_kitchen.wav,"повертаючись із орди, помер в дорозі великий володимирський князь ярослав ярославович",kitchen,повертаючись із орди помер в дорозі великий володимирський князь ярослав ярославович,Returning from the horde died on the road the great Vladimir prince Yaroslav Yaroslavovich
159,samples_with_noise_snr5/common_voice_uk_25828714_living.wav,"повертаючись із орди, помер в дорозі великий володимирський князь ярослав ярославович",living,повертаючись із орди помер в дорозі великий володимирський князь ярослав ярославович,Returning from the horde died on the road the great Vladimir prince Yaroslav Yaroslavovich
160,samples_with_noise_snr5/common_voice_uk_25828714_meeting.wav,"повертаючись із орди, помер в дорозі великий володимирський князь ярослав ярославович",meeting,повертаючись із орди помер в дорозі великий володимирський князь яросав ярослава ложкофіллегі,Returning from the horde died on the road the great Vladimir prince Yaroslav spoonfillegi
