"гано ліпше відає він ходив у тоті краї" "гано ліпше відає він ходив у тут і краї"
"тис великий князь витичівський" "ти с великий князь витичівський"
"але вкривши чорне волосся смушевим ковпаком він таки пішов сідлати коня тихо ворушачи губами" "але вкривши чорне волось смушевим ковпаком він таки пішов сідлати коня тихо ворушачи губами"
"ні землю не треба дай лише слово" "ні землю не треба дай лише слово"
"киянка єсмь" "киянка єсмь"
вуйку вуйку
"по тому думка навернулася на старе ковач стоян порадив тоді сходити до старця славути" "по тому думка навернулася на старековач стоян порадив тоді сходити до старця славути"
"сватоплук знову порадився зі своїми мунжами й відповів" "сватоплук знову порадився зі своїми муншами й відповів"
"пощо так" "пощо так"
"що вони чинять" "що вони чинять"
трьох трьох
"а ти вмієш" "а ти вмієш"
"й імено моє знаєш" "й імено моє знаєш"
"вмію відповів той один граматик показав у константиновому городі пощо питаєш" "вмію відповів той один граматик показав у константиновому городі пощо питаєш"
"ах ти невіголосе" "ах ти невіголосе"
"не к добру є сказав аж тепер богдан і княгиня теж повторила" "не к добру є сказав аж тепер богдан і княгиня теж повторила"
"зодкуду знаєш порусинському" "зокуду знаєш по русинському"
"мабути се инчих тут городів не виджу мабути тото й єсть заград їхній" "мабутисе инчих тут городів не виджу мабутито то й єсть за град їхній"
"цо хчеш княже" "цо хчеш княже"
"князь одвернувся під стіну й провів рукою по тесаних колодах" "князь одвернувся під стіну й провів рукою по тесаних колодах"
"молода повторив король і незрозуміле було чи він погоджується чи заперечує" "молода повторив король і незрозуміле було чи він погоджується чи заперечує"
"і землюс їв" "і землюс їв"
"де був єси стільки" "де був єси стільки"
"заради цих державних інтересів жертвували не лише працею і кровю а й совістю" "заради цих державних інтересів жертвували не лише працею і кровю а й совістю"
"то речеш ні братті їй сестер устряв у розмову борислав" "то речеш ні братті їй сестерустряв розмову борислав"
"рідна сестра" "рідна сестра"
"таке багатство міг бис мати й ти архонте" "таке багатство міг бис мати й ти архонте"
"більшого не рекла нічого" "більшого не рекла нічого"
"вречу хай прокудять тебе з двірця бичами" "в речу хай прокудять тебе з двірця бичами"
"чув єси про золотий скіт змія горянина" "чув єси про золотий скіт змія горянина"
"дай княже я поцілую твої вуста впосліднє я люблю тебе" "дай княже я поцілую твої вуста в послідня я люблю тебе"
"пощо мовив гано" "пощо мовив гано"
"де є князь київський" "де є князь київський"
"на що натяк зводиш отроче" "на що натяк зводиш отроче"
"то приведи" "то приведи"
"вдовиця єсмь" "вдовиця єсмь"
"хай тебе чорти стережуть якось байдуже висварив його рогволод а харя мурин відповів" "хай тебе чорти стережуть якось байдуже висварив його рогволод а харямурин відповів"
"адаміс перелякано скинув на князя очі" "адаміс перелякано скинув на князя очі"
"де є ждан" "де є ждан"
"який то є юрів меч" "який то є юрів меч"
"ждан виступив на видноту й сказав пильно дивлячись у змарніле князеве обличчя" "ждан виступив на видноту й сказав пильно дивлячись у змарніле князеве обличчя"
"скілько є воїв моїх" "скілько є воїв моїх"
"місяця травного" "місяця травного"
"пощо пощо бо не виджу о праву руч себе гатила ось пощо" "пощо пощо бо не виджу о праву руч себе гатила ось пощо"
стережу стережу
"іди йди підохотив його борислав має юну жонукнязівну хай іде йди" "іди йди підохотив його борислав має юну жону князівну хай йде йди"
"князя джурджа вихопилося в борислава й він почервонів" "князя джурджа вихопилося у борислава й він почервонів"
"не мов такего сестро" "не мов такего сестра"
"такої такої загули хлопці й дівчата" "такої такої загули хлопці й дівчата"
"богдан відповів через тлумача костана" "богдан відповів через тлумача костана"
"слава богданові гатилові" "слава богданові гатилові"
"що ректи йому" "що ректи йому"
"великий князь київський гатило пускає до себе на луги то людність і суне" "великий князь київський гатило пускає до себе на луги то людність і суне"
той той
"сікур стенув плечима" "сікур стенув плечима"
"пощо є так не звернувши уваги на ту шпильку повторив годой" "пощо є так не звернувши уваги на ту шпильку повторив годой"
"сестра твоя ображено закопилила губу королева" "сестра твоя ображено закопилила губу королева"
"втікаєш княже недружелюбно буркнув він" "втікаєш княже недружелюбно буркнув він"
"хлопець несвідомо взяв гривню й ніяк не міг одвести віч од діви" "хлопець несвідомо взяв гривню й ніяк не міг одвести віч од діва"
"й утретє речи" "й утретє речи"
"що ради заперечив стоян ворожити або ж по зілля якесь приїхав" "що ради заперечив стоян ворожити або ж пузілля якесь приїхав"
"городище було занедбане його часто палили степовики князь володар мусив подбати про се" "городище було занедбане його часто палили степовикикнязь володар мусив подбати про се"
"то хто йому вкаже брід саме через армансон ти" "то хто йому вкаже брід саме через армансон ти"
"жона заглянула в темну яму підтримувана попід руки й мовила" "жона заглянула в темну яму підтримувана попід руки й мовила"
"що буде взавтра як утішусь" "що буде взавтра як утішусь"
"людота засміявся" "людота засміявся"
"вельміж кивнув" "вельміж кивнув"
"і ям тебе виділа звідкуду єси" "і ям тебе виділа звідкуду єси"
"я відаю про що маєш хіть казати хрест" "я відаю про що маєш хіть казати хрест"
"гнали аж до берліну поганців" "гнали аж до берліну поганців"
ввіруємо віруємо
"та не вмре україни ні слава ні воля" "та не вмре у країни ні слава ні воля"
"учора зла рука татя пустила по мені стрілу" "учора зла рука татя пустила по мені стрілу"
"церковні владики поставилися з розумінням до бандитської нужди московського князя" "церковні владики поставилися з розумінням до бандитської нужди московського князя"
"це звичайний міф катерининської комісії яка придумувала історію переважно росії" "це звичайний міф катерининської комісії яка придумвала історію переважно росії"
"але це не головне" "але це не головне"
"старий конюший кивнув" "старий конюший кивнув"
що що
"лучче проміняти шаблю на веретено аніж напасти вдвох на одного" "лучче проміняти шаблю на веретено аніж напасти вдвох на одного"
"олешківські піски часто називають українською сахарою" "олешківські піски часто називають українською сахарою"
"є каяття да вороття немає" "є каяття да вороття немає"
"і волосся кружечком як ви се чините що в усіх однакове" "і волосся кружечком як ви се чините що усіх однакове"
"не подаватиму виписки з панегірика про куликовську битву" "не подаватиму виписки з панегірика про куликовську битву"
"заборону накладали всі гілки влади цар сенат дума і навіть священний синод" "заборону накладали всі гілки влади цар сенат дума і навіть священний синод"
"однак якщо ви говорите про чиюсь совість то про свою не варто забувати" "однак якщо ви говорите про чиюсь совість то про свою не варто забувати"
"татари могли спустошити її аж до новгорода" "татари могли спустошити її аж до новгорода"
"хоч які великі жертви боротьба конечна" "хоч які великі жертви боротьба конечна"
"отже князі ростовськосуздальської землі а постародавньому государі племен" "отжекнязі ростовськосуздальської землі а по стародавньому государі племен"
"готовеньке і кішка зїсть" "готовеньке і кішка зїсть"
"мудрець не придушує пристрасті а керує ними і стримує" "мудрець не придушує пристрасті а керує ними і стримує"
"цього їхня свідомість не сприймає" "цього їхня свідомість не сприймає"
"ні риба ні мясо і в раки не годиться" "ні риба ні мясо і в раки не годиться"
"усі землі між ними були вкриті дрімучими лісами й непрохідними болотами" "усі землі між ними були вкриті дрімучими лісами й непрохідними болотами"
"права і свободи людини і громадянина закріплені цією конституцією не є вичерпними" "права і свободи людини і громадянина закріплені цією конституцію не є вичерпними"
"це великі давні народи які мають своє самобутнє коріння свою велич свою історію" "це великі давні народи які мають своє самобутнє коріння свою велич свою історію"
"його свідчення унікальні безцінні для нащадків" "його свідчення унікальні безцінні для нащадків"
"розмір винагороди судді конституційного суду україни встановлюється законом про конституційний суд україни" "розмір винагороди судді конституційного суду україни встановлюється законом про конституційний суд україни"
"як корова язиком злизала" "як корова язиком злизала"
"миша не одну дірку має до хати" "мишане одну дірку має до хати"
"мовляв це був один народ одне коріння і єдина історія" "мовлявце був один народ одне коріння і єдина історія"
"памятатимеш до нових віників" "памятатимеш до нових віників"
"однак через брак іншого звернімося до тих що до нас дійшли" "однак через брак іншого звернімося до тих що до нас дійшли"
"як не боятися життя" "як не боятися життя"
"тут бачимо зворотне" "тут бачимо зворотне"
"і жоден розсудливий росіянин не обурюється з відвертої неправди" "і жоден розсудливий росіянин не обурюється з відвертої неправди"
"брехня лилася рікою й здавалося що зрештою остаточно переможе" "брехня лилася рікою й здавалося що зрештою остаточно переможе"
"не можна не помітити стосовно міст важливої за своїми наслідками однобічності" "не можна не помітити стосовно міст важливої за своїми наслідками однобічності"
"ледве люди починають жити а вже смерть над ними різноманітні сіті наставляє" "ледве люди починають жити а вже смерть над ними різноманітні сіті наставляє"
"усяка ненависть виходить від якоїсь любові" "усяка ненависть виходить від якоїсь любові"
"саме настільки і розум людський перевищує доблесть" "саме настільки і розум людський перевищує доблесть"
"на городі бузина а в києві дядько" "на городі бузина а в києві дядько"
"нехай росія благополучно зробить свій останній похід на південь" "нехай росія благополучно зробить свій останній похід на південь"
"каже кров зєднаю каже любов пробачу каже віра веду" "каже кров зєднаю каже любов про бачу каже віра виду"
"ясна річ усій цій князівській братії рюриковичів не вистачало престолів" "ясна річ усій цій князівській братії рюриковичів не вистачала престолів"
"у цьому немає небхідності" "у цьому немає небхідності"
проговорилися проговорилися
"автор не дотримується історичної правди вона йому не потрібна" "автор не дотримується історичної правди вона йому не потрібна"
"негоже бо великоросові бути без государя" "не гоже бо великоросові бути без государя"
"не загоїть серця фальш" "не загоїть серця фальш"
"і заслугами більше її уміцняйте" "і заслугами більше її уміцняйте"
"не подобає вам бути тільки іменем пастирями а в річі самій хижаками" "не подобає вам бути тільки іменем пастирями а в річі самій хижаками"
"одна ластівка не робить весни" "одна ластівка не робить весни"
"його слова ми цитували раніше" "його слова ми цитували раніше"
"добра жона вінець мужеві своєму і безжурність а зла жона люта печаль зубожіння дому" "добра жона вінець мужеві своєму і безжурність а зла жона люта печаль зубожіння дому"
"ярослав всеволодович княжив у переяславліруському рязані новгороді" "ярославвсеволодович княжив у переяславлі руському рязані новгороді"
"тоді в хід пішли брехня вимисли звичайне злодійство" "тоді в хід пішли брехня вимисли звичайне злодійство"
"вискочив як пилип з конопель" "вискочив як плип з конопель"
"цей звичай використав олександр невський" "цей звичай використав олександр невський"
"шановні читачі осмисліть історичні аналогії" "шановні читачі осмисліть історичні аналогії"
"без них сюди довго б іще не проникли й підприємливі миряни" "без них сюди довго б іще не проникли й підприємливі миряни"
"від сходу сонячного до темного вечора різалися на вулицях з остервенінням надзвичайним" "від сходу сонячного до темного вечора різалися на вулицях з остервенінням надзвичайним"
"ось пане солженіцин над чим нині повинна голову ламати російська людина" "ось пане солженіцин над чим нині повинна голову ламати російська людина"
"послухаймо великого майстра цієї справи" "послухаймо великого майстра цієї справи"
"прощаю всіх хто заподіяв мені злоне хочу носити в душі зла" "прощаю всіх хто заподіяв мені зло не хочу носити в душі зла"
"колесов є арбітром постійної палати третейського суду в гаазі куди лужков збирається скаржитися" "колесов є арбітром постійної палати тратейського суду вґаазі куди лужков збирається скаржитися"
тощо тощо
"себто кількістю грошей які давав його князівський престол" "се б то кількістю грошей які давав його князівський престол"
"усі сумніви щодо доведеності вини особи тлумачаться на її користь" "усі сумніви щодо доведеності вини особи тлумачаться на її користь"
"ключевського де він сам себе спростовує" "ключевського де він сам себе спростовує"
"так одразу всі люди того фінського поселення стали християнами й великоросами" "так одразу всі люди того фінського поселення стали християнами й великоросами"
"дай дурневі макогона то він і вікна побє" "дай дурневі макогона то він і вікна побє"
"не раз хто забувається про завтра той має вічність" "не раз хто забувається про завтра той має вічність"
"прохання до патріарха були підкріплені значними дарами" "прохання до патріарха були підкріплені значними дарами"
"кожен має право на освіту" "кожен має право на освіту"
"свідченням нікчемних людей не слід надавати жодної ваги" "свідченнямнікчемних людей не слід надавати жодної ваги"
"хани і рюриковичі були для корінного населення землі моксель а згодом московії зайдами" "хани і рюриковичі були для корінного населення землі моксель а згодом московії зайдами"
"автор цією пропозицією збирався закінчити дослідження завоювання казані московським князем іваном грозним" "автор цією пропозицією збирався закінчити дослідження завоювання казані московським князем іваномгрозним"
"російські історики протягом тривалого часу мінімізовували доважок брехні про кількісний склад військ батия" "російські історики протягом тривалого часу мінімізовували доважок брехні про кількісний склад військ батия"
"випадкова причина не є правдивою причиною" "випадкова причина не є правдивою причиною"
"не заквітне троянда без терня рвачкого" "не заквітне троянда без терня рвачкого"
"а ось найбільш анекдотичний випадок із російської історії" "а ось найбільш анекдотичний випадок із російської історії"
"російські історики встановили що він був отруєний монголотатарами" "російські історики встановили що він був отруєний монголотатарами"
"законопроекти визначені президентом україни як невідкладні розглядаються верховною радою україни позачергово" "законопроекти визначені президентом україни як невідкладні розглядаються верховно радою україни позачергово"
"не допускаються зловживання монопольним становищем на ринку неправомірне обмеження конкуренції та недобросовісна конкуренція" "не допускаються зловживання монопольним становищем на ринку неправомірне обмеження конкуренції та недобросовісна конкуренція"
"коли бути бажаєм собою коли серце позор відчува" "коли бути бажаєм собою коли серце позор відчува"
"зверхник повинен через свої повчання і поради увесь бути в кожному з йому довірених" "зверхникповинен через свої повчання і поради увесь бути в кожному з йому довірених"
"тому повернімося до олександра" "тому повернімося до олександра"
"була здобута з допомогою військ сартака" "була здобута з допомогою військ сартака"
"прогалини в знанні історії вам олександре ісайовичу не завадило б заповнити" "прогален в знанні історії вам олександре ісайовичу не завадило б заповнити"
"а він знав що олександр невський ставши андою сартака поріднився з родом батия" "а він знав що олександр невський ставши андою сартака поріднився з родом батия"
"стережися мести тільки й сказав отаман богданові й нахилив корогву вперед потягнімо браттє" "стережи ся мсти тільки й сказав отаман богданові й нахилив корову вперед потягнімо брати"
"на тій половині показав рукою в бік сіней кравчий" "на тій половині показав рукою в бік сіней кравчий"
"бане тремким від хвилювання та втоми голосом сказав він старому завертай валку" "бане тремким від хвилювання та втоми голосом сказав він старому завертай валку"
"і незабаром письменники великоросійської історії проспівають цьому московському государеві оду хвалебну" "і незабаром письменники великоросійської історії проспівають цьому московському государеві оду хвалебну"
"йому нічого не варто було будьякі вигадані слова приписати майбутньому святому" "йому нічого не варто було будьякі вигадані слова приписати майбутньому святому"
"в греки глухим голосом проказав богдан і досі сторожко стежачи за кожним порухом годечана" "в греки глухим голосом проказав богдан і досі сторожко стежачи за кожним порухом годечана"
"прийшлий знову замявсь і скосував на вишату вбраного в ще грецьке корзно" "прийшлий знову замявсь і скосував на вишату вбраного в ще грецьке корзно"
"береже для столу" "береже для столу"
"княгиня рада блимнула на нього й стенула плечима" "княгиня рада блимнула на нього й стенула плечима"
"конюший махнув рукою в бік нежині" "конюший махнув рукою в бік нежині"
"пограбувавши їх вирізавши десятки тисяч місцевих жителів московити пішли геть" "пограбувавши їх вирізавши десятки тисяч місцевих жителів московити пішли геть"
"московська владна еліта під словами слабке царювання завжди мала на увазі московське його трактування" "московська владна еліта під словами слабкецарювання завжди мала на увазі московське його трактування"
"хлопці похапалися за мечі але не спинились" "хлопці похапалися за мечі але не спинились"
"боронися клич своїх косацьких кумирів на підмогу" "боронися клич своїх косацьких кумирів на підмогу"
"не відаю княже" "не відаю княже"
"ой травиченько та моріжечку ти гляди не вколи мені й ніжечку" "ой травиченько та моріжечку ти гляди не вколи мені й ніжечку"
"будь гостею в нашому вогнищі княжно" "будь гостею в нашому вогнищі княжно"
"нарочитий морятин" "нарочитий морятин"
мати мати
"а подібні діяння суворо засуджуються і богом і церквою" "а подібні діяння суворо засуджуються і богом і церквою"
"за карамзіним і з ярмом на шиї можна бути государем очевидно володарем ханського двору" "за карамзіним і з ярмом на шиї можна бути государемочевидно володарем ханського двору"
мамо мамо
"на спині хрестнавхрест червоніло кілька кривавих запечених посмуг" "на спині хрест нав хрест червоніло кілька кривавих запечених посмуг"
"а хто такий був мамай він проводир одного з військових протиборчих угруповань в орді" "а хто такий був мамай він проводир одного з військових протиборчих угруповань в орді"
"карамзіна але значно далі в тексті заховане серед інших сказань" "карамзіна але значно далі в тексті заховане серед інших сказань"
"нам ще доведеться до нього повернутися є дуже вагома на те причина" "нам ще доведеться до нього повернутися є дуже вагома на те причина"
"роб єси княгині ради" "роб єси княгині ради"
"йому відповідати перед солдатамигероями" "йому відповідати перед солдатамигероями"
"місяця того самого в третій день" "місяця того самого в третій день"
"тоді комонники переставши бити в червлені щити голосно закричали" "тоді комонники переставши бити в червлені щити голосно закричали"
"викладач не вважав за потрібне вивчити українську хоча все життя прожив на українській землі" "викладач не вважав за потрібне вивчити українську хоча все життя прожив на українській землі"
"так слухай є така пісня" "так слухай є така пісня"
"російський народ має право й повинен знати свою сувору історичну правду" "російський народ має право й повинен знати свою сувору історичну правду"
"богдан смикнув повіддя се назвисько вразило його" "богдан смикнув повіддя се назвисько вразило його"
"за законами сини олександра також вважалися онуками хана бату як і сам менгутимур" "за законами сини олександра також вважалися онуками хана бату як і сам менгутемур"
"це далеко не бездоказові твердження" "це далеко не бездоказові твердження"
"нарочитий замявся" "нарочитий замявся"
"митрополит варлаам став першою жертвою нових стосунків" "митрополит варлаам став першою жертвою нових стосунків"
"іспанський народ ніколи не намагався обґрунтувати історичну належність йому ацтекської культури" "іспанський народ ніколи не намагався обгрунтувати історичну належність йому ацтекської культури"
"та втну собі дубову тесочку" "та втну собі дубову тесочку"
"карамзіна фактів осуду російською церквою розбійних захоплень чужих земель і чужого майна" "карамзіна фактів осуду російською церквою розбійних захоплень чужих земель і чужого майна"
"тивун сього разу не збагнув що від нього вимагають і перепитав" "тивун сього разу не збагнув що від нього вимагають і перепитав"
"отже причина одна придбання багатства земель чергове поневоления народу" "отжепричина одна придбання багатства земель чергове поневолення народу"
"тож романови московські не мали навіть фальшивого історичного права успадковувати титул царя спадкоємця візантійського" "тож романові московські не мали навіть фальшивого історичного права успадковувати титул царя спадкоємця візантійського"
"хоча брехня й вигадки стрижнева основа історичного писання російської історії" "хоча брехня й вигадки стрижнива основа історичного писання російської історії"
"гречники не можуть ходити в ольбію по сіль" "гречники не можуть ходити в ольбію по сіль"
"єпископи володимирський симеон і сарський ісмаїл ставши посередині гучного сонму не дозволили братам битися" "епископи володимирський симеон і царський ісмаїл ставши посередині гучного сонмуне дозволили братам битися"
"придбав я в іркутську книжку для читання школярам молодших класів олександр невський" "придбав я в іркуську книжку для читання школярам молодших класів олександр невський"
"гей ви чого сте повилуплювали очі нум же" "гей ви чого сте повилуплювали очі нумже"
"чочого речу перелякано заволав малко й у нестямі хльоснув княжича впоперек спини гарапником" "шо чого речу перелякано заволав малко й у нестямі хльоснув княжича впоперек спини гарапником"
"лише про завоювання памятаєте" "лише про завоювання памятаєте"
"крім звичайного доважку брехні нічого виявити неможливо" "крім звичайного доважку брехні нічого виявити неможливо"
коли коли
"косак не співав а навспівки проказував пісню якої хлопякам не доводилося чути" "косак не співав а на співки проказував пісню якої хлопякам не доводилося чути"
