"князя джурджа вихопилося в борислава й він почервонів" "князя джурджа вихопилося у борислава й він почервонів"
"не мов такего сестро" "не мов такего сестра"
"хлопець несвідомо взяв гривню й ніяк не міг одвести віч од діви" "хлопець несвідомо взяв гривню й ніяк не міг одвести віч од діва"
"що ради заперечив стоян ворожити або ж по зілля якесь приїхав" "що ради заперечив стоян ворожити або ж пузілля якесь приїхав"
"городище було занедбане його часто палили степовики князь володар мусив подбати про се" "городище було занедбане його часто палили степовикикнязь володар мусив подбати про се"
ввіруємо віруємо
"та не вмре україни ні слава ні воля" "та не вмре у країни ні слава ні воля"
"це звичайний міф катерининської комісії яка придумувала історію переважно росії" "це звичайний міф катерининської комісії яка придумвала історію переважно росії"
"і волосся кружечком як ви се чините що в усіх однакове" "і волосся кружечком як ви се чините що усіх однакове"
"отже князі ростовськосуздальської землі а постародавньому государі племен" "отжекнязі ростовськосуздальської землі а по стародавньому государі племен"
"права і свободи людини і громадянина закріплені цією конституцією не є вичерпними" "права і свободи людини і громадянина закріплені цією конституцію не є вичерпними"
"миша не одну дірку має до хати" "мишане одну дірку має до хати"
"мовляв це був один народ одне коріння і єдина історія" "мовлявце був один народ одне коріння і єдина історія"
"каже кров зєднаю каже любов пробачу каже віра веду" "каже кров зєднаю каже любов про бачу каже віра виду"
"ясна річ усій цій князівській братії рюриковичів не вистачало престолів" "ясна річ усій цій князівській братії рюриковичів не вистачала престолів"
"негоже бо великоросові бути без государя" "не гоже бо великоросові бути без государя"
"ярослав всеволодович княжив у переяславліруському рязані новгороді" "ярославвсеволодович княжив у переяславлі руському рязані новгороді"
"вискочив як пилип з конопель" "вискочив як плип з конопель"
"прощаю всіх хто заподіяв мені злоне хочу носити в душі зла" "прощаю всіх хто заподіяв мені зло не хочу носити в душі зла"
"колесов є арбітром постійної палати третейського суду в гаазі куди лужков збирається скаржитися" "колесов є арбітром постійної палати тратейського суду вґаазі куди лужков збирається скаржитися"
"себто кількістю грошей які давав його князівський престол" "се б то кількістю грошей які давав його князівський престол"
"свідченням нікчемних людей не слід надавати жодної ваги" "свідченнямнікчемних людей не слід надавати жодної ваги"
"автор цією пропозицією збирався закінчити дослідження завоювання казані московським князем іваном грозним" "автор цією пропозицією збирався закінчити дослідження завоювання казані московським князем іваномгрозним"
"законопроекти визначені президентом україни як невідкладні розглядаються верховною радою україни позачергово" "законопроекти визначені президентом україни як невідкладні розглядаються верховно радою україни позачергово"
"зверхник повинен через свої повчання і поради увесь бути в кожному з йому довірених" "зверхникповинен через свої повчання і поради увесь бути в кожному з йому довірених"
"прогалини в знанні історії вам олександре ісайовичу не завадило б заповнити" "прогален в знанні історії вам олександре ісайовичу не завадило б заповнити"
"стережися мести тільки й сказав отаман богданові й нахилив корогву вперед потягнімо браттє" "стережи ся мсти тільки й сказав отаман богданові й нахилив корову вперед потягнімо брати"
"московська владна еліта під словами слабке царювання завжди мала на увазі московське його трактування" "московська владна еліта під словами слабкецарювання завжди мала на увазі московське його трактування"
"за карамзіним і з ярмом на шиї можна бути государем очевидно володарем ханського двору" "за карамзіним і з ярмом на шиї можна бути государемочевидно володарем ханського двору"
"на спині хрестнавхрест червоніло кілька кривавих запечених посмуг" "на спині хрест нав хрест червоніло кілька кривавих запечених посмуг"
"за законами сини олександра також вважалися онуками хана бату як і сам менгутимур" "за законами сини олександра також вважалися онуками хана бату як і сам менгутемур"
"іспанський народ ніколи не намагався обґрунтувати історичну належність йому ацтекської культури" "іспанський народ ніколи не намагався обгрунтувати історичну належність йому ацтекської культури"
"отже причина одна придбання багатства земель чергове поневоления народу" "отжепричина одна придбання багатства земель чергове поневолення народу"
"тож романови московські не мали навіть фальшивого історичного права успадковувати титул царя спадкоємця візантійського" "тож романові московські не мали навіть фальшивого історичного права успадковувати титул царя спадкоємця візантійського"
"хоча брехня й вигадки стрижнева основа історичного писання російської історії" "хоча брехня й вигадки стрижнива основа історичного писання російської історії"
"єпископи володимирський симеон і сарський ісмаїл ставши посередині гучного сонму не дозволили братам битися" "епископи володимирський симеон і царський ісмаїл ставши посередині гучного сонмуне дозволили братам битися"
"придбав я в іркутську книжку для читання школярам молодших класів олександр невський" "придбав я в іркуську книжку для читання школярам молодших класів олександр невський"
"гей ви чого сте повилуплювали очі нум же" "гей ви чого сте повилуплювали очі нумже"
"чочого речу перелякано заволав малко й у нестямі хльоснув княжича впоперек спини гарапником" "шо чого речу перелякано заволав малко й у нестямі хльоснув княжича впоперек спини гарапником"
"косак не співав а навспівки проказував пісню якої хлопякам не доводилося чути" "косак не співав а на співки проказував пісню якої хлопякам не доводилося чути"
"а що коли дідо сміл відає про" "а що коли дідо сміло відає про"
"ви йдіть вуйку я ще мало посидю туто вхилився людота" "ви йдіть вуйку я ще мало посидю тут о вхилився людота"
"з лугу йду переставилася моя жона царство їй небесне то надумався єсмь" "злугу йду переставилася моя жона царство її небесне то надумався єсмь"
"їдуть сказав і сторожець оно поначищали бороню свою" "їдуть сказав і сторожецьоно поначищали бороню свою"
"се що є спитав консул киваючи довгою бородою на коштовності пріск пояснив" "се що є спитав консул киваючи довгою бородою на коштовностіпрiск пояснив"
"пощо сидиш брате нервово засміявся гернот ждеш поки все твоє крульство реготати почне" "пощо сидишбрате нервово засміявся гернот ждеш поки все твоє крульство реготати почне"
"сей перстень дав тобі гість мій і в сьому персні є отрова тако речу" "сей перстень дав тобі гість мій і в сьому персні є отроватако речу"
"адаміса нема вдома сказав він витримуючи пильний погляд максиміна" "адаміса не мав дома сказав він витримуючи пильний погляд максиміна"
"держ коні сказав своєму супутникові рогволод і той буркнув" "держконі сказав своєму супутникові рогволод і той буркнув"
"й кревну мсту перепитав богдан і годой не відчув у тому ніякої пастки" "й кревну мступерепитав богдан і годой не відчув у тому ніякої пастки"
"біжи й речи хай прийде до мене" "біжий речи хай прийде до мене"
"видаєте її діду похолов людота ступивши крок до присьпи й дідо відповів" "ви даєте її діду похолов людота ступивши крок до призьби й дідо відповів"
"там показав рукою ковальчук і витяг зза пазухи підкову знайшов єсмь коло нава" "там показав рукою ковальчук і витяг за пазухи підкову знайшов єсмь коло нава"
"тож московський государ терміново прислухався до поради полководця едигея" "тож московський государ терміново прислухався до поради полководця едгей"
"бо саме в той історичний період і відбувався критичний перелом" "по саме в той історичний період і відбувся критичний перелом"
"увійшовши до складу великого руськолитовського князівства український народ дістав перепочинок" "війшовши до складу великого руськолитовського князівства український народ дістав перепочинок"
"аа богдан гатило чули смо" "а богдан гатило чули смо"
"тлумач і гатилів ябедник русич розуміюче поплескав свого юного колегу й шепнув йому" "тлумач і гатилів ябедник русич розуміючи поплескав свого юного колегу й шепнув йому"
"пяні вони відповів морятин" "пяні вони відповів морятен"
"стариця ходив єси до неї й вона страхається тебе" "стариць ходив єси до неї й вона страхається тебе"
"а так не хо та й годі мені й у нашому городищі добре мається" "а так нехо та й годі мені у нашому городищі добре мається"
"гатиловідвернувсь і мовив" "гатиловідвернувся і мовив"
"пощос такий укурений" "пощо с такий укурений"
"людота зле блимнув за князя й той знову спитав його" "людота зле блимнув на князя й той знову спитав його"
"єутихій він і на коня не злізе таке гузно розїв" "єутихий він і на коня не злізе так гузно розїв"
"у князеві все отерпло він проказав" "у князеві все терпловін проказав"
"де є те яблуко котрем дав тобі" "де є ти яблуко котра м дав тобі"
"то гонорія твоя цісарська величносте юстаграта гонорія" "то гонорія твоя цісарська величностюстагра та гонорія"
"того ж таки вечора він прислав нарочитим тивуном у дарницю десять нових блискучих гривен" "того ж таки вечора він прислав нарочитим тивуном ударницю десять нових блискучих гривен"
"ану ти мовив людота подаючи важку оружину здоровезному воєві" "а ну ти мовив людота подаючи важку оружну здоровезному воєві"
"як се повашому" "як се по вашому"
"рогволода мов бичем по виді шмагонули" "рогволода мов бичем по виді шмогнули"
"з волині відповів гречник мечі як вогонь з городця харалуги" "з волині відповів гречникмечі як вогонь з городця харалуги"
"попочухаєш руки путь не близька" "попочухаєш руки путь не блиска"
"жупан ще дивився на нього з недовірою та всетаки мовив" "жупан ще дивився на нього з недовірою та все таки мовив"
"ні ще не в гори ходімо до гурту" "ні ще не в горе ходімо до гурту"
"нє пані жупаніце прислав братового чада княжича остоя остоя з товариші" "не пані жупаніце прислав братового чада княжича отоястоя з товариші"
"русини родичі лужицьким сербам відповів остой ми смо кореню їдного й крові єдиної" "русиниродичі лужицьким сербам відповів остой ми смо кореню їдного й крові єдиної"
"богдан раптом настовбурчився проти гостя" "богдан раптом на стовбурчився проти гостя"
"речи своїм грекам що київський князь богдан гатило такоже гнушається їхніх кумирів" "речи своїм грекам що київський князь богдангатило такоже гнушається їхніх кумирів"
"зирю на тебе гатиле та й згадую" "зирю на тебе гатиле та й згадуй"
"він дістав ще теплий круглий мяз і серце теж уселяло надію" "він дістав ще теплий круглий мяс і серце теж уселяло надію"
"сього разу годой спитав інше власне те що непокоїло всіх воїв" "сього разу годой спитав інше власне те що непокоїло всіх воєн"
"добував єсмь невісту сьому лежневі весело відповів болярин сідлайте" "добував єсмь невісту сьому лежневівесело відповів болярин сідлайте"
"княже сказав ждан узаутра буде віче" "княже сказав ждан узаутра буде віч"
"візьміте його вказав їм князь на скомороха в поруб у поруб сього послуха" "візьміте його вказав їм князь на скоморох в поруб поруб сього послуха"
"хай ламне однаково вмикну" "хай ламне однаково микну"
"ясновиди нема де ж вона є" "ясновиди нема те ж вона є"
"грецьку нагадав богдан а тоді ще й поправився юдейську" "грецьку нагадав богдан а тоді ще поправився юдейську"
"над заборолом почувся зневажливий регіт" "над заборолом почувся зневажливий регід"
"в голосі старця бримнуло залізо й людота зрозумів що далі благати марно" "голосі старця бримнуло залізо й людота зрозумів що далі благати марно"
"й на землі клянися врочистим голосом проказав старець" "й на землі клянисяврочистим голосом проказав старець"
"в голосі старого князя бриніло благання якого ждан уже давно не чув" "голосі старого князя бриніло благання якого ждан уже давно не чув"
"переконаймося що і книга степенна була в імператриці" "переконаємося що і книга степенна була в імператриці"
"про якихнебудь государів московських говорити не випадає" "про яких небудь государів московських говорити не випадає"
"імперія великоросів суворо стежила щоб її постулати про первородство і велич неухильно сповідували" "імперія великоросів суворо стежила щоб її постулати про первородства і велич неухильно сповідували"
"мета дух і закони державності золотої орди збереглися і в часи династії романовихкобиліних" "мета дух і закони державності золотої орди збереглися і в часи династії романових кобиліних"
"карамзін у своїй оді московії змушений був ці речі визнавати" "карамзін у своїй одімосковії змушений був ці речі визнавати"
"харю мурина" харюмурина
"кажи при ньому не страшись далі сього місця твої слова не підуть" "кажи при ньому не страшисьдалі сього місця твої слова не підуть"
"зпід гуні старому знову визирнув червоний шовковий опояс на чималому череві" "з підгуні старому знову визирнув червоний шовковий опояс на чималому череві"
"ти віруєш у змія горянина король знизав плечима гернот уже вдруге питав те саме" "ти віруєш у зміягарянина король знизав плечима гернот уже вдруге питав те саме"
"нє так тризну правимо тільки ми сіври" "не так тризну правимо тільки ми сіври"
"чув єси архонте мовив євнух і вже не відвів погляду витримав до кінця" "чув єси архонте мовив євнух і вже не відводив погляду витримав до кінця"
"єсмь князь київський у витичеві сидить брат мого діда" "єсмь князь київський у витичеві сидить брат його діда"
"видимир князь готський послав гудця ардарікові щос ти охабився землі руської" "видимир князь готський послав гудця ардарікові щости охабився землі руської"
ніскільки "ні скільки"
"до конунга мене не пустили високий начальнику" "до конунга мене не пустиливсокий начальнику"
"ми русини речемо волод а сіври всхідні речуть владо й венеди такоже владо" "ми русини речемо волод а сіври всхідні речуть влада й венеди такоже владо"
"вжем шесту зиму тут у києвому гроді" "вже шесту зиму тут у києвому городі"
"тамо єсть показав на синю смужку лісу гано доскочимо чи ставати тут на ніч" "дамо єсть показав на синю смужку лісу ганодоскочимо чи ставати тут на ніч"
"нашу людину тоді подумав мить і додав ти її знаєш вікілла гунський тлумач наш" "нашу людину тоді подумав мить і додав ти її знаєш вікіла гунський тлумач наш"
"вишато крикнув до нього болярин орест воротаа" "вишато крикнув до нього болярин орест ворота"
"гатило сів на килимі юдей перекрутив плиту" "гатило сів на килемі юдей перекрутив плиту"
"то не важить прийми христа в душу" "то не важить прийми хреста в душу"
"у спять" успять
"князь і досі не помічав пастки кинутої йому під ноги він простякувато спитав" "князь і досі не помічав пасткикинутої йому під ноги він простякувато спитав"
"почувши ймено ненависного онука навіть не власного а братнього рогволод знестями гаркнув" "почувши ймено ненависного онука навіть не власного а братнього рогволод з нестями гаркнув"
"що смієшся гарикнув на нього богдан" "що смієшсягарикнув на нього богдан"
"вилазь і" вилазь
"войславе підеш у греки повезеш наші злічіння ускоків та пильнуй того вовкулаку чув єси" "войславе підеш у греки повезеш наші злічіння ускаків та пильнуй його вовкулаку чув єси"
"як же то є княже годечане ваш закон лугарський не дає женитися на вдовиці" "як же та є княже годечане ваш закон лугарський не дає женитися на вдовиці"
"сірі смо з таким данко хай не забуде його дажбог був не пара сьому" "сірі смо з такими данко хай не забуде його дажбог був не пара сьому"
"тоді плати вирне мов і не чувши старця докінчив своє між вісім гривен серебла" "тоді плати вирнемов і не чувши старця докінчив своє між вісім гривен серебла"
"місяця тоготаки" "місяця того таки"
"вона говорила схвильовано але твердо певно давно вже обдумала те що казала" "вона говорила схвильовано але твердо певно давно вже обдумала те що сказала"
"у сей час до полотки ввійшов максимін й адаміс квапливо попрощався" "у сей час до полотки в йшов максимін й адаміс квапливо попрощався"
"ліпшетаки повідаю казочку" "ліпше таки повідаю казочку"
"за солженіциним туди йому і дорога аби тільки швидше прихопити шматок чужої землі" "за солженіциним туди йому й дорога аби тільки швидше прихопити шматок чужої землі"
"хіба гатило й туттаки поцікавився хто ж бив молотом тобі" "хіба гатило й тут таки поцікавився хто ж бив молотом тобі"
"розкажи скiльки роздав" "розкажи скільки роздав"
"тереньовi те все тiльки привiд до нової пiснi" "тереньові те все тільки привід до нової пісні"
"осип копанка був позакулiсовий володар усього села" "осибкопанка був позакулiсовий володар усього села"
"за даними бійцівський сайтів іносов кандидат у майстри спорту з боксу" "за даними бійцівських сайтів і носов кандидат у майстри спорту з боксу"
"думав я що вiн хлопцiв соромився при них не хотiв попрощатись як слiд" "думав я що вiн хлопцiв соромився при них не хотiв попрощатись як слід"
"часом так i горне до себе а часом нудна сiра стомлена" "часом так i горне до себе а часом нуднасiра стомлена"
"на станцiйному подвiрї чекали пасажирiв фурмани" "на станційному подвірї чекали пасажирів фурмани"
"горбились акацiї по той бiк майдану" "горбились акації по той бік майдану"
"зібрані дані застосовувалися по перше для генерування адресної розсилки" "зібрані дані застосовувалисяпо перше для генерування адресної розсилки"
"ведення записів наших мітингів рішень і роботи стає основою нашого власного практикуму" "ведення записів наших мітингіврішень і роботи стає основою нашого власного практикуму"
"можете менi хотiлось послухати творiв цього поета з лицем простодушного бандита" "можете мені хотілось послухати творів цього поета з лицем простодушного бандита"
"макіавеллі людина хитра підступна віроломна" "макіавеллі людина хитрапідступна віроломна"
"вiн замахнувсь здоровенною ломакою завбiльшки в людину й задоволене погладив її" "він замахнувсь здоровенною ломакою завбiльшки в людину й задоволене погладив її"
"розмістіть у заглибленнях нарізану шинку кубики твердого сиру помідорів болгарського перцю" "розмістіть у заглибленнях нарізану шинкукубики твердого сиру помідорів болгарського перцю"
"правова система шотландії залишається окремою від англії уельсу та північної ірландії" "правова система шотландії залишається окремою від англії уельсу та північноїірландії"
"гуди сказав той" "губи сказав той"
"ябедник дістав з широкого рукава товстий сувій і простяг великому князеві та той наказав" "ябедник дістав широкого рукава товстий сувій і простяг великому князеві та той наказав"
"так сте платили досі тепер платитиймете вдвічі сімсот літр і так буде" "так сте платили досі тепер платити й мети вдвічі сімсот літр і так буде"
"ізжени старицю казатийму тобі щось княгиня тужно поглянула на свою супутницю й повторила" "і жони старицю казати йму тобі щось княгиня тужно поглянула на свою супутницю й повторила"
"негоже єсть полянинові брати вдовицю" "не гоже єсть полянинові брати вдовицю"
"сестра дивилася то на одного брата то на другого й горнулась у своє корзно" "сестра дивилась то на одного брата то на другого й горнулась у своє корзно"
"мільярди російських рублів шпурлялися наліво й направо" "мільярди російських рублів шпурляли на ліво й направо"
"там однокровні наші західні готи але таки готи і я великий княже" "там однокровні наші західніготи але таки готи і я великий княже"
"тікай ковалику тікай бо славутині сини й онуки зживуть" "тікай ковалику тікай бо славутені сини й онуки живуть"
"тоді на сьому й покладемо сказав останнє слово косацький отаман" "тоді на сьому й покладемосказав останнє слово косацький отаман"
юрко юрку
"вони виправдати вміють будьяку жорстокість" "вони виправдати вміють будь яку жорстокість"
"рече рогволод великий князь твій дід абис прийшов ти до городу стольного" "рече рогволод великий князь твій дід аби с прийшов ти до городу стольного"
"відтепер візантія мала платити русі по сімсот літр золота вдвічі більше ніж за рогволода" "від тепер візантія мала платити русі по сімсот літр золота вдвічі більше ніж за рогволода"
"й сем відав одповів отрок і подививсь богданові просто в вічі" "й сам відаводповів отрок і подивився богданові просто в вічі"
"ромул нахилив низько стрижену сиву голову що б він міг порадити" "ромул нахилив низько стрижену сиву голову що він міг порадити"
"муки тантала нестерпне страждання від усвідомлення близькості бажаної мети і неможливості її досягти" "мукитантала нестерпне страждання від усвідомлення близькості бажаної мети і неможливості її досягти"
"свіжі фотографії з акції колона протестувальників на вулиці грушевського" "свіжі фотографії за акції клоне протестувальників на вулиці грушевського"
"дiйсно бiльшiсть модних пiсень належало творчостi тереня" "дійсно бiльшiсть модних пiсень належало творчостi тереня"
"життяце смертельна хворобащо передається статевим шляхом" "життя це смертельна хвороба що передається статевим шляхом"
"учітесь читайте і чужому научайтесь й свого не цурайтесь" "учітесь читайте і чужому научайтесь і свого не цурайтесь"
"тоді на ці гроші можна було купити жигулі копійку" "тоді на ці гроші можна було купити жигулікопійку"
"бідний чи богатий а в церкві не свищи" "бідний чи багатий а в церкві не свищи"
"наліг як циган на ковалдо" "не ліг як циган на ковалдо"
"рельєф центральної і південносхідної частин великої британії горбисторівнинний" "рельєф центральної і південносхідної частини великої британії горбисторівнинний"
"купив також новий пiджак недобре при чистiй роботi сидiти в якомусь лахмiттi" "купив також новий піджак недобре при чистiй роботi сидiти в якомусь лахмітті"
"нiколи в такий час не приходила а тепер припленталась" "ніколи в такий час не приходила а тепер припленталась"
"почнеться суд тяганина клопiт" "почнеться суд тяганина клопіт"
"сучасні парфуми свідомо чи підсвідомо створюють з ароматів минулого" "сучасні парфумисвідомо чи підсвідомо створюють з ароматів минулого"
"фіговий листок благопристойне прикриття ганебних вчинків" "фіговийлисток благопристойне прикриття ганебних вчинків"
"хто високо літає той низько сідає" "хто високо літа той низько сідає"
"а повiки очей яркочервонi неначе вивернутi" "а повiки очей яркочервоні неначе вивернутi"
"не будь наївним кресафтезасмiявся товстощокий мамлiй голова з перемоги" "не будь наївним кресавте засміявся товстощокий мамлій голова з перемоги"
